sunmax-backend-prod.ec2-us-west-1.us1.svc.ubnt.com,52.53.115.217
sunmax.ubnt.com,54.215.203.159
support-survey.ubnt.com,52.88.142.136
support.ubnt.com,54.187.8.43
survey.ubnt.com,52.39.143.156
suspendportal-proxy-stage.ec2-us-east-1.us1.svc-dev.ubnt.com,52.0.44.134
suspendportal-proxy-stage.ec2-us-east-1.us1.svc.ubnt.com,52.0.44.134
switch.ubnt.com,52.85.74.247
tr.ubnt.com,54.72.103.126
training.ubnt.com,54.85.91.97
trainingdev.ubnt.com,52.45.250.79
trainingv3.ubnt.com,52.45.250.79
translate.ubnt.com,52.0.24.169
turn.ubnt.com,52.58.47.146
tw.corp.ubnt.com,61.220.35.170
ubnt.com,54.149.157.3
ucrm-billing-stats.ubnt.com,34.213.2.111
ucrm-demo.ubnt.com,52.26.213.220
ucrm.ubnt.com,52.85.74.24
ulabs.ubnt.com,52.85.74.218
unifi-go.ubnt.com,54.71.222.242
unifi-hd.ubnt.com,52.85.74.77
unifi-mesh-contest.ubnt.com,52.85.74.34
unifi-mesh.ubnt.com,52.85.74.166
unifi-planner.ubnt.com,52.85.74.165
unifi-sdn.ubnt.com,52.85.74.97
unifi-shd.ubnt.com,52.85.74.78
unifi-stage.ubnt.com,52.85.74.116
unifi.ubnt.com,52.85.74.226
unms-demo.ubnt.com,52.26.3.19
unms.ubnt.com,52.37.26.173
us.corp.ubnt.com,67.214.240.149
uservpn-stage.ec2-eu-west-1.us1.svc.ubnt.com,54.76.228.101
video-dev.ubnt.com,52.85.74.189
video-stage.ubnt.com,52.85.74.34
video.ubnt.com,52.85.74.87
voip.ubnt.com,52.34.95.238
vpn.corp.ubnt.com,67.214.240.146
web1.ubnt.com,54.243.151.116
web2.ubnt.com,23.21.111.252
wiki.ubnt.com,52.33.57.177
www.go.ubnt.com,130.211.191.195
www.ubnt.com,54.149.157.3
